Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
970	10	36	18	18	0	36	0
971	10	36	18	0	0	18	18
972	9	27	18	9	0	27	0
973	11	51	9	0	0	9	42
974	10	39	3	6	0	9	30
975	11	45	9	9	0	18	27
976	12	54	9	0	0	9	45
977	11	48	6	3	0	9	39
978	11	45	9	0	0	9	36
979	10	36	9	9	0	18	18
980	11	48	6	3	0	9	39
981	11	48	3	0	0	3	45
982	12	64	4	1	0	5	59
983	11	55	4	0	0	4	51
984	11	48	12	3	0	15	33
985	11	48	6	3	0	9	39
986	11	48	12	0	0	12	36
987	10	39	6	0	0	6	33
988	10	36	6	3	0	9	27
989	10	36	9	9	0	18	18
990	11	45	9	0	0	9	36
991	10	36	9	0	0	9	27
992	9	27	9	0	0	9	18
993	11	51	12	0	0	12	39
994	10	39	6	6	0	12	27
995	11	48	12	6	0	18	30
996	11	48	6	0	0	6	42
997	10	36	12	6	0	18	18
998	11	48	12	6	0	18	30
999	11	45	12	3	0	15	30
